"source_census","county_cd","pk_gndr","cd_race","age_grouping_cd","measurement_year","pop_cnt"
"2000",2,1,10,4,"2000",18.89
"2000",2,1,11,0,"2000",2334.09
"2000",2,1,11,1,"2000",590
"2000",2,1,11,2,"2000",631.99
"2000",2,1,11,3,"2000",630.99
"2000",2,1,11,4,"2000",481.11
"2000",2,1,12,0,"2000",2.94
"2000",2,1,12,1,"2000",1.01
"2000",2,1,12,2,"2000",0
"2000",2,1,12,3,"2000",1.93
"2000",2,1,12,4,"2000",0
"2000",2,1,NA,0,"2000",2537
"2000",2,1,NA,1,"2000",655
"2000",2,1,NA,2,"2000",686
"2000",2,1,NA,3,"2000",690
"2000",2,1,NA,4,"2000",506
"2000",2,2,0,0,"2000",2704
"2000",2,2,0,1,"2000",751
"2000",2,2,0,2,"2000",758
"2000",2,2,0,3,"2000",738
"2000",2,2,0,4,"2000",457
"2000",2,2,1,0,"2000",53
"2000",2,2,1,1,"2000",12
"2000",2,2,1,2,"2000",16.01
"2000",2,2,1,3,"2000",13.99
"2000",2,2,1,4,"2000",11
"2000",2,2,2,0,"2000",12.26
"2000",2,2,2,1,"2000",3.98
"2000",2,2,2,2,"2000",3
"2000",2,2,2,3,"2000",0
"2000",2,2,2,4,"2000",5.28
"2000",2,2,3,0,"2000",14.02
"2000",2,2,3,1,"2000",5
"2000",2,2,3,2,"2000",4.98
"2000",2,2,3,3,"2000",2
"2000",2,2,3,4,"2000",2.04
"2000",2,2,4,0,"2000",0
"2000",2,2,4,1,"2000",0
"2000",2,2,4,2,"2000",0
"2000",2,2,4,3,"2000",0
"2000",2,2,4,4,"2000",0
"2000",2,2,5,0,"2000",2548.43
"2000",2,2,5,1,"2000",705
"2000",2,2,5,2,"2000",714.05
"2000",2,2,5,3,"2000",704.04
"2000",2,2,5,4,"2000",425.35
"2000",2,2,8,0,"2000",76.29
"2000",2,2,8,1,"2000",25.01
"2000",2,2,8,2,"2000",19.97
"2000",2,2,8,3,"2000",17.97
"2000",2,2,8,4,"2000",13.35
"2000",2,2,9,0,"2000",101
"2000",2,2,9,1,"2000",50.05
"2000",2,2,9,2,"2000",17.98
"2000",2,2,9,3,"2000",23.01
"2000",2,2,9,4,"2000",9.98
"2000",2,2,10,0,"2000",129.54
"2000",2,2,10,1,"2000",35.99
"2000",2,2,10,2,"2000",38.98
"2000",2,2,10,3,"2000",25.96
"2000",2,2,10,4,"2000",28.63
"2000",2,2,11,0,"2000",2461.43
"2000",2,2,11,1,"2000",661.96
"2000",2,2,11,2,"2000",696.07
"2000",2,2,11,3,"2000",687.04
"2000",2,2,11,4,"2000",416.37
"2000",2,2,12,0,"2000",12.02
"2000",2,2,12,1,"2000",3
"2000",2,2,12,2,"2000",4.98
"2000",2,2,12,3,"2000",2
"2000",2,2,12,4,"2000",2.04
"2000",2,2,NA,0,"2000",2704
"2000",2,2,NA,1,"2000",751
"2000",2,2,NA,2,"2000",758
"2000",2,2,NA,3,"2000",737.99
"2000",2,2,NA,4,"2000",457
"2000",3,0,0,0,"2000",42359.02
"2000",3,0,0,1,"2000",10779.01
"2000",3,0,0,2,"2000",11682
"2000",3,0,0,3,"2000",12313
"2000",3,0,0,4,"2000",7585
"2000",3,0,1,0,"2000",388.67
"2000",3,0,1,1,"2000",107.52
"2000",3,0,1,2,"2000",122.49
"2000",3,0,1,3,"2000",93.5
"2000",3,0,1,4,"2000",65.15
"2000",3,0,2,0,"2000",856.96
